,id,symbol,type,interval,amount,startDate,endDate,buy,sell,growth/drop,closed,high,low,Volume,RSI,sell_zscore
26,08f4ab80-825b-11ec-a3da-f4d1080d95a2,LINKUSDT,rsi,15m,500,2022-01-31 06:00:00,2022-01-31 07:30:00,16.84,16.77,-0.4156769596199542,True,16.87,16.64,21562.13,47.06062369764588,0.0
27,0c102a87-825b-11ec-8548-f4d1080d95a2,ONGUSDT,rsi,15m,500,2022-01-31 06:00:00,2022-01-31 07:30:00,0.6117,0.6073,-0.7193068497629672,True,0.6124,0.6058,11715.0,36.98148539911684,0.0
28,0c74ac87-825b-11ec-b79e-f4d1080d95a2,PUNDIXUSDT,rsi,15m,500,2022-01-31 06:00:00,2022-01-31 07:30:00,0.739,0.739,0.0,True,0.74,0.736,10157.3,40.33964261408001,0.0
29,24d0fbb5-825d-11ec-a6c5-f4d1080d95a2,TFUELUSDT,rsi,15m,500,2022-01-31 06:15:00,2022-01-31 07:45:00,0.1732,0.1741,0.5196304849884595,True,0.1741,0.1717,500603.0,56.23005103240986,0.0
30,2536c284-825d-11ec-9bb7-f4d1080d95a2,PHAUSDT,rsi,15m,500,2022-01-31 06:15:00,2022-01-31 07:15:00,0.2368,0.2416,2.0270270270270263,True,0.2416,0.2358,3673.0,36.94260888422751,0.0
31,38a4e890-825f-11ec-be0f-f4d1080d95a2,GHSTUSDT,rsi,15m,500,2022-01-31 06:30:00,2022-01-31 06:30:00,2.062,2.031,-1.5033947623666195,True,2.063,2.031,54190.3,73.77551569676803,0.0
32,393288c8-825f-11ec-b44a-f4d1080d95a2,CTXCUSDT,rsi,15m,500,2022-01-31 06:30:00,2022-01-31 07:00:00,0.3146,0.3211,2.066115702479341,True,0.3211,0.311,332101.0,50.8770306114597,0.0
33,2673a0df-8268-11ec-8b32-f4d1080d95a2,ARDRUSDT,rsi,15m,500,2022-01-31 07:30:00,2022-01-31 08:00:00,0.1725,0.173,0.2898550724637684,False,0.1736,0.1725,1935.0,47.817662809846425,0.0
34,b711a5a9-8269-11ec-afe2-f4d1080d95a2,TKOUSDT,rsi,15m,500,2022-01-31 07:45:00,2022-01-31 09:15:00,0.71,0.709,-0.14084507042253536,True,0.712,0.708,2637.2,46.820928855247566,0.0
35,ebe26e79-826d-11ec-bf0e-f4d1080d95a2,NULSUSDT,rsi,15m,500,2022-01-31 08:15:00,2022-01-31 08:15:00,0.3864,0.3948,2.173913043478251,True,0.3948,0.3827,128693.0,59.243354990049475,0.0
36,197a3b11-826e-11ec-b894-f4d1080d95a2,HIVEUSDT,rsi,15m,500,2022-01-31 08:15:00,2022-01-31 09:45:00,0.9104,0.9132,0.3075571177504421,True,0.9149,0.9074,5559.0,50.05637418445947,0.0
37,0066fc0b-8270-11ec-905c-f4d1080d95a2,MFTUSDT,rsi,15m,500,2022-01-31 08:30:00,2022-01-31 10:00:00,0.00609,0.006099,0.14778325123153246,True,0.006134,0.006032,8658797.0,52.09527145263573,0.0
38,194526f9-8272-11ec-82a6-f4d1080d95a2,BEAMUSDT,rsi,15m,500,2022-01-31 08:45:00,2022-01-31 10:15:00,0.3573,0.3569,-0.1119507416736668,True,0.3641,0.3553,50313.0,41.15363548083419,0.0
39,5f3d6fc2-8278-11ec-b20d-f4d1080d95a2,NKNUSDT,rsi,15m,500,2022-01-31 09:30:00,2022-01-31 09:30:00,0.2149,0.2192,2.0009306654257784,True,0.2192,0.2149,262480.0,61.21595018689131,0.0
40,627c5100-8278-11ec-9baf-f4d1080d95a2,MBLUSDT,rsi,15m,500,2022-01-31 09:30:00,2022-01-31 11:00:00,0.005542,0.005553,0.1984843016961336,True,0.005569,0.005539,219918.0,44.92454972959859,0.0
41,abb454dd-827e-11ec-a57f-f4d1080d95a2,FIOUSDT,rsi,15m,500,2022-01-31 10:15:00,2022-01-31 11:45:00,0.097,0.0972,0.20618556701030086,True,0.0978,0.0969,16993.0,43.38015246884424,0.0
42,d7c13dcb-8282-11ec-b02f-f4d1080d95a2,SANDUSDT,rsi,15m,500,2022-01-31 10:45:00,2022-01-31 11:30:00,3.8774,3.8184,-1.5216382111724391,True,3.8999,3.8184,296885.0,53.8882932489741,0.0
43,f50e0a81-8284-11ec-ae2f-f4d1080d95a2,FUNUSDT,rsi,15m,500,2022-01-31 11:00:00,2022-01-31 12:30:00,0.00949,0.0094,-0.9483667017913573,True,0.00953,0.00937,1011668.0,45.200029670996,0.0
44,5706bc7c-828d-11ec-b373-f4d1080d95a2,TRIBEUSDT,rsi,15m,500,2022-01-31 12:00:00,2022-01-31 13:30:00,0.685,0.6805,-0.6569343065693517,True,0.6869,0.6752,21660.0,58.66898241963927,0.0
45,6a6633f6-828f-11ec-a315-f4d1080d95a2,ARUSDT,rsi,15m,500,2022-01-31 12:15:00,2022-01-31 13:00:00,37.79,37.22,-1.50833553850225,True,37.94,37.22,11717.19,62.776493620096765,0.0
46,ccceceff-8297-11ec-a626-f4d1080d95a2,TORNUSDT,rsi,15m,500,2022-01-31 13:15:00,2022-01-31 14:00:00,21.64,22.09,2.0794824399260596,True,22.09,21.61,728.49,51.83091824223897,0.0
47,e56be503-8299-11ec-8ba3-f4d1080d95a2,ENJUSDT,rsi,15m,500,2022-01-31 13:30:00,2022-01-31 13:30:00,1.814,1.852,2.094818081587653,True,1.852,1.813,225343.5,59.52252900250114,0.0
48,fde73c12-829b-11ec-81d3-f4d1080d95a2,MDTUSDT,rsi,15m,500,2022-01-31 13:45:00,2022-01-31 15:15:00,0.06081,0.06132,0.8386778490379814,True,0.06168,0.06027,386017.4,53.10408067334339,0.0
49,15db6bcc-829e-11ec-bbe2-f4d1080d95a2,XTZUSDT,rsi,15m,500,2022-01-31 14:00:00,2022-01-31 14:15:00,3.389,3.458,2.0359988197108407,True,3.458,3.375,66920.5,62.47007581480624,0.0
50,17a4ddc1-829e-11ec-b552-f4d1080d95a2,CTKUSDT,rsi,15m,500,2022-01-31 14:00:00,2022-01-31 15:15:00,1.32,1.347,2.0454545454545388,True,1.347,1.317,12006.1,44.602987173121136,0.0
51,2f201f5c-82a0-11ec-904c-f4d1080d95a2,OMGUSDT,rsi,15m,500,2022-01-31 14:15:00,2022-01-31 15:45:00,4.978,5.039,1.2253917235837675,True,5.07,4.948,47626.9,58.83043652294251,0.0
52,32ad1b91-82a0-11ec-b72c-f4d1080d95a2,RNDRUSDT,rsi,15m,500,2022-01-31 14:15:00,2022-01-31 14:45:00,3.151,3.218,2.1263091082196186,True,3.218,3.132,27802.54,55.69553673748878,0.0
53,94f7d776-82a8-11ec-b029-f4d1080d95a2,PORTOUSDT,rsi,15m,500,2022-01-31 15:15:00,2022-01-31 16:45:00,3.0218,3.0255,0.12244357667616185,True,3.0352,3.0064,9511.49,59.88075447804326,0.0
54,f5fdd737-82b0-11ec-a716-f4d1080d95a2,SUNUSDT,rsi,15m,500,2022-01-31 16:15:00,2022-01-31 17:45:00,0.01415,0.01421,0.424028268551244,True,0.01437,0.01415,29502452.0,62.04804166704776,0.0
55,271c0e31-82b5-11ec-be46-f4d1080d95a2,FLMUSDT,rsi,15m,500,2022-01-31 16:45:00,2022-01-31 18:15:00,0.2467,0.2476,0.36481556546412003,True,0.2497,0.2467,37537.0,72.43089287931261,0.0
56,3fc94042-82b7-11ec-b4ad-f4d1080d95a2,PERLUSDT,rsi,15m,500,2022-01-31 17:00:00,2022-01-31 18:30:00,0.05035,0.04967,-1.3505461767626614,True,0.05043,0.04965,194376.5,61.48205183823992,0.0
57,579791ae-82b9-11ec-9bcc-f4d1080d95a2,ADXUSDT,rsi,15m,500,2022-01-31 17:15:00,2022-01-31 18:45:00,0.4182,0.424,1.3868962219033887,True,0.4264,0.4158,110181.0,56.518861519096376,0.0
58,6bd9f57a-82bb-11ec-b381-f4d1080d95a2,BADGERUSDT,rsi,15m,500,2022-01-31 17:30:00,2022-01-31 19:00:00,11.15,11.27,1.0762331838564951,True,11.32,11.05,40583.37,70.3188291331582,0.0
59,88476ef9-82bd-11ec-8b56-f4d1080d95a2,MDXUSDT,rsi,15m,500,2022-01-31 17:45:00,2022-01-31 19:15:00,0.23,0.231,0.43478260869565255,True,0.234,0.229,149324.7,67.80390617308022,0.0
60,88a929ce-82bd-11ec-89dc-f4d1080d95a2,STORJUSDT,rsi,15m,500,2022-01-31 17:45:00,2022-01-31 19:15:00,1.1381,1.1456,0.6589930586064549,True,1.1511,1.1328,6842.0,55.02136337096701,0.0
61,88ff730c-82bd-11ec-b112-f4d1080d95a2,IOSTUSDT,rsi,15m,500,2022-01-31 17:45:00,2022-01-31 19:15:00,0.02602,0.02608,0.23059185242120506,True,0.02613,0.02591,2074499.0,57.362843300050464,0.0
62,894ffdc7-82bd-11ec-a980-f4d1080d95a2,PNTUSDT,rsi,15m,500,2022-01-31 17:45:00,2022-01-31 19:15:00,0.5947,0.5957,0.16815200941651268,True,0.5968,0.5922,16553.0,58.28707702040099,0.0
63,cd23b47b-82c3-11ec-857b-f4d1080d95a2,ALGOUSDT,rsi,15m,500,2022-01-31 18:30:00,2022-01-31 19:30:00,0.9583,0.9433,-1.5652718355421071,True,0.9601,0.9433,241760.0,61.880473535075275,0.0
64,ce412367-82c3-11ec-b5ea-f4d1080d95a2,AGLDUSDT,rsi,15m,500,2022-01-31 18:30:00,2022-01-31 20:00:00,0.815,0.81,-0.6134969325153244,True,0.822,0.809,2125.3,60.894130405643494,0.0
