symbol,interval,price,buyAmount,gainProfit,gainAmount,totalAmount,startDate,endDate,avgDate,volume,quoteVolume
BTCUSDT,30M,null,500,2.084165136,10.42082568,510.4208257,7/30/2021 9:25,7/30/2021 14:55,0 days 05:30:00,3620165.6,4533095.139
BTCUSDT,30M,null,500,2.08137045,10.40685225,510.4068522,7/16/2021 10:35,7/18/2021 0:35,1 days 14:00:00,1106900.21,1292126.328
BTCUSDT,30M,null,500,2.001507411,10.00753706,510.0075371,7/25/2021 14:45,7/25/2021 21:55,0 days 07:10:00,427005.42,510208.5197
BTCUSDT,30M,null,500,1.981145619,9.905728095,509.9057281,8/15/2021 7:40,8/15/2021 19:50,0 days 12:10:00,2568023.58,5381638.319
BTCUSDT,30M,null,500,1.963436929,9.817184644,509.8171846,8/24/2021 14:00,8/24/2021 19:05,0 days 05:05:00,8443406.89,23153370.17
BTCUSDT,30M,null,500,1.933301112,9.666505558,509.6665056,8/16/2021 20:05,8/17/2021 2:00,0 days 05:55:00,5237239.46,10868904.87
BTCUSDT,30M,null,500,1.916157644,9.580788219,509.5807882,7/25/2021 14:25,7/25/2021 21:55,0 days 07:30:00,1545645.25,1849732.416
BTCUSDT,30M,null,500,1.905820015,9.529100077,509.5291001,7/16/2021 11:30,7/17/2021 19:50,1 days 08:20:00,810189.33,949224.4763
BTCUSDT,30M,null,500,1.902485184,9.512425918,509.5124259,8/17/2021 19:15,8/18/2021 15:50,0 days 20:35:00,8127173.62,16346443.34
BTCUSDT,30M,null,500,1.888264669,9.441323346,509.4413233,8/3/2021 3:40,8/3/2021 12:45,0 days 09:05:00,626676.36,804221.6751
BTCUSDT,30M,null,500,1.870995301,9.354976506,509.3549765,7/16/2021 10:25,7/17/2021 19:50,1 days 09:25:00,1972938.96,2308980.867
BTCUSDT,30M,null,500,1.859121547,9.295607733,509.2956077,7/8/2021 8:25,7/8/2021 17:35,0 days 09:10:00,734738.92,993140.4923
BTCUSDT,30M,null,500,1.84899078,9.2449539,509.2449539,8/17/2021 19:50,8/18/2021 15:45,0 days 19:55:00,3482352.47,6970851.916
BTCUSDT,30M,null,500,1.836551861,9.182759307,509.1827593,8/17/2021 19:40,8/18/2021 15:50,0 days 20:10:00,924507.95,1856448.15
BTCUSDT,30M,null,500,1.835220617,9.176103085,509.1761031,8/26/2021 7:05,8/26/2021 13:50,0 days 06:45:00,3316324.59,8486033.269
BTCUSDT,30M,null,500,1.815352697,9.076763485,509.0767635,7/8/2021 11:00,7/8/2021 17:30,0 days 06:30:00,2167749.01,2931015.491
BTCUSDT,30M,null,500,1.797423436,8.98711718,508.9871172,7/12/2021 19:45,7/12/2021 23:15,0 days 03:30:00,358941.84,465496.7517
BTCUSDT,30M,null,500,1.797423436,8.98711718,508.9871172,7/12/2021 20:05,7/12/2021 23:15,0 days 03:10:00,550649.26,712114.4771
BTCUSDT,30M,null,500,1.793185894,8.965929468,508.9659295,8/17/2021 19:35,8/18/2021 15:45,0 days 20:10:00,931309.56,1870516.117
BTCUSDT,30M,null,500,1.77989471,8.899473552,508.8994736,7/25/2021 14:35,7/25/2021 21:55,0 days 07:20:00,502584.31,602247.5768
BTCUSDT,30M,null,500,1.738551454,8.692757269,508.6927573,7/8/2021 8:45,7/8/2021 17:35,0 days 08:50:00,296996.97,401670.9728
